nome,codigo
"Cólera devida a Vibrio Cholerae 01, biótipo Cholerae                                                ",A000
"Cólera devida a Vibrio Cholerae 01, biótipo El Tor                                                  ",A001
Cólera não especificada                                                                             ,A009
Febre tifóide                                                                                 ,A010
Febre paratifóide A                                                                                 ,A011
Febre paratifóide B                                                                                 ,A012
Febre paratifóide C                                                                                 ,A013
Febre paratifóide não especificada                                                                  ,A014
Enterite por salmonela                                                                              ,A020
Septicemia por salmonela                                                                            ,A021
Infecções localizadas por salmonela                                                                 ,A022
Outras infecções especificadas por salmonela                                                        ,A028
Infecção não especificada por salmonela                                                             ,A029
Shiguelose devida a Shigella Dysenteriae                                                            ,A030
Shiguelose devida a Shigella Flexneri                                                               ,A031
Shiguelose devida a Shigella Boydii                                                                 ,A032
Shiguelose devida a Shigella Sonnei                                                                 ,A033
Outras shigueloses                                                                                  ,A038
Shiguelose não especificada                                                                         ,A039
Infecção por Escherichia Coli enteropatogênica                                                      ,A040
Infecção por Escherichia Coli enterotoxigênica                                                      ,A041
Infecção por Escherichia Coli enteroinvasiva                                                        ,A042
Infecção por Escherichia Coli enterohemorrágica                                                     ,A043
Outras infecções intestinais por escherichia coli                                                   ,A044
Enterite por Campylobacter                                                                          ,A045
Enterite devida a Yersinia enterocolítica                                                           ,A046
Enterocolite devida a Clostridium Difficile                                                         ,A047
Outras infecções bacterianas intestinais especificadas                                              ,A048
Infecção intestinal bacteriana não especificada                                                     ,A049
Intoxicação alimentar estafilocócica                                                                ,A050
Botulismo                                                                                           ,A051
Intoxicação alimentar devida a Clostridium Perfringens [Clostridium Welchii]                        ,A052
Intoxicação alimentar devida a Vibrio Parahemolyticus                                               ,A053
Intoxicação alimentar devida a Bacillus Cereus                                                      ,A054
Outras intoxicações alimentares bacterianas especificadas                                           ,A058
Intoxicação alimentar bacteriana não especificada                                                   ,A059
Disenteria amebiana aguda                                                                           ,A060
Amebíase intestinal crônica                                                                         ,A061
Colite amebiana não-disentérica                                                                     ,A062
Ameboma intestinal                                                                                  ,A063
Abscesso amebiano do fígado                                                                         ,A064
Abscesso amebiano do pulmão                                                                         ,A065
Abscesso amebiano do cérebro                                                                        ,A066
Amebíase cutânea                                                                                    ,A067
Infecção amebiana de outras localizações                                                            ,A068
Amebíase não especificada                                                                           ,A069
Balantidíase                                                                                        ,A070
Giardíase [lamblíase]                                                                               ,A071
Criptosporidiose                                                                                    ,A072
Isosporíase                                                                                         ,A073
Outras doenças intestinais especificadas por protozoários                                           ,A078
Doença intestinal não especificada por protozoários                                                 ,A079
Enterite por rotavírus                                                                              ,A080
Gastroenteropatia aguda pelo agente de Norwalk                                                      ,A081
Enterite por adenovírus                                                                             ,A082
Outras enterites virais                                                                             ,A083
Infecção intestinal devida a vírus não especificado                                                 ,A084
Outras infecções intestinais especificadas                                                          ,A085
Diarréia e gastroenterite de origem infecciosa presumível                                           ,A09 
"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura    ",A150
"Tuberculose pulmonar, com confirmação somente por cultura                                           ",A151
"Tuberculose pulmonar, com confirmação histológica                                                   ",A152
"Tuberculose pulmonar, com confirmação por meio não especificado                                     ",A153
"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica               ",A154
"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica   ",A155
"Pleuris tuberculoso, com confirmação bacteriológica e histológica                                   ",A156
"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica           ",A157
"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica   ",A158
"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica   ",A159
Tuberculose pulmonar com exames bacteriológico e histológico negativos                              ,A160
"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico                         ",A161
"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica                       ",A162
"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica    ",A163
"Tuberculose da laringe, traquéia e brônquios, sem menção de confirm. bacteriológica ou histológica  ",A164
"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica                      ",A165
Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica           ,A167
"Outras formas de tubercul. das vias respirat., sem menção de confirm. bacteriológica ou histológica ",A168
"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica ",A169
Meningite tuberculosa                                                                               ,A170
Tuberculoma meníngeo                                                                                ,A171
Outras tuberculoses do sistema nervoso                                                              ,A178
Tuberculose não especificada do sistema nervoso                                                     ,A179
Tuberculose óssea e das articulações                                                                ,A180
Tuberculose do aparelho geniturinário                                                               ,A181
Linfadenopatia tuberculosa periférica                                                               ,A182
"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos                                  ",A183
Tuberculose de pele e do tecido celular subcutâneo                                                  ,A184
Tuberculose do olho                                                                                 ,A185
Tuberculose do ouvido                                                                               ,A186
