nomeprocedimento,codigo
ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO BÁSICA                                                                                           ,101010010
ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA                                                                                    ,101010028
PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO                                                                                                          ,101010036
AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL                                                                                                        ,101020015
AÇÃO COLETIVA DE BOCHECHO FLUORADO                                                                                                                    ,101020023
AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA                                                                                                      ,101020031
AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA                                                                                            ,101020040
APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)                                                                                                                 ,101020058
APLICAÇÃO DE SELANTE (POR DENTE)                                                                                                                      ,101020066
APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)                                                                                                     ,101020074
EVIDENCIAÇÃO DE PLACA BACTERIANA                                                                                                                      ,101020082
SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA                                                                                                             ,101020090
VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO                                                                                                     ,101030010
VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR                                                                                    ,101030029
AVALIAÇÃO ANTROPOMÉTRICA                                                                                                                              ,101040024
COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)                                                                                                         ,101040032
PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)                                                                                                         ,101040040
ADMINISTRAÇÃO DE VITAMINA A                                                                                                                           ,101040059
APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES                                                                                                           ,101040067
PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA                                                                                                    ,101050011
TERAPIA COMUNITÁRIA                                                                                                                                   ,101050020
DANÇA CIRCULAR/BIODANÇA                                                                                                                               ,101050038
YOGA                                                                                                                                                  ,101050046
OFICINA DE MASSAGEM/ AUTO-MASSAGEM                                                                                                                    ,101050054
SESSÃO DE ARTETERAPIA                                                                                                                                 ,101050062
SESSÃO DE MEDITAÇÃO                                                                                                                                   ,101050070
SESSÃO DE MUSICOTERAPIA                                                                                                                               ,101050089
ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO                                                                                                           ,102010056
ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                            ,102010064
CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                          ,102010072
INSPEÇÃO SANITÁRIA DE HOSPITAIS                                                                                                                       ,102010145
INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS                                                                                                ,102010153
EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.                                                   ,102010161
INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                         ,102010170
LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                    ,102010188
APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                          ,102010196
INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS                                                                                          ,102010200
INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE                                                                                               ,102010218
ATIVIDADE EDUCATIVA PARA A POPULAÇÃO                                                                                                                  ,102010226
RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES                                                                                                                  ,102010234
ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES                                                                                                                   ,102010242
CADASTRO DE HOSPITAIS                                                                                                                                 ,102010250
LICENCIAMENTO SANITÁRIO DE HOSPITAIS                                                                                                                  ,102010269
CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                             ,102010277
INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                   ,102010285
LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                              ,102010293
CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS                                                                                                                ,102010307
INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS                                                                                                       ,102010315
LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS                                                                                                 ,102010323
CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA                                                                    ,102010331
INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.                                                         ,102010340
LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA                                                     ,102010358
CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                                     ,102010366
INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                           ,102010374
LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                      ,102010382
CADASTRO DE SERVIÇOS DE HEMOTERAPIA                                                                                                                   ,102010390
INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA                                                                                                         ,102010404
LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA                                                                                                    ,102010412
CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                                    ,102010420
INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                          ,102010439
LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                     ,102010447
CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                                   ,102010455
INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                         ,102010463
LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                    ,102010471
"FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚBLICOS OU PRIVADOS                                   ",102010480
LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA SANITÁRIA                                           ,102010498
"ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO                                                                          ",102010501
"ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SETOR REGULADO E A POPULAÇÃO                              ",102010510
INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO                                                                                                      ,102010528
CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO                                                                                                        ,102010536
CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS                                                                                                       ,102010544
CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE                                                                                                         ,102010552
INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS                                                                                             ,102010560
INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE                                                                                               ,102010579
IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPs) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS        ,102010587
IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPs) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICO,102010595
IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPs) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE ,102010609
ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA                                                              ,102010617
ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVISA                                                     ,102010625
ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA                                                       ,102010633
AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS               ,102010641
AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS      ,102010650
AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE        ,102010668
VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES                                                                                                     ,102020019
ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR                                                                                                           ,102020027
INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR                                                                                                            ,102020035
AMNIOCENTESE                                                                                                                                          ,201010011
BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE                                                                                                         ,201010020
BIOPSIA CIRURGICA DE TIREOIDE                                                                                                                         ,201010038
BIOPSIA DE ANUS E CANAL ANAL                                                                                                                          ,201010046
BIOPSIA DE BACO POR PUNCAO / ASPIRACAO                                                                                                                ,201010054
BIOPSIA DE BEXIGA                                                                                                                                     ,201010062
BIOPSIA DE BOLSA ESCROTAL                                                                                                                             ,201010070
BIOPSIA DE CONDUTO AUDITIVO EXTERNO                                                                                                                   ,201010089
BIOPSIA DE CONJUNTIVA                                                                                                                                 ,201010097
