CODIGO;TITULO;TITULO_SEM_ACENTO_E_EM_CAIXA_ALTA
848505;Abatedor;ABATEDOR
764305;Acabador de calçados;ACABADOR DE CALCADOS
766305;Acabador de embalagens (flexíveis e cartotécnicas);ACABADOR DE EMBALAGENS (FLEXIVEIS E CARTOTECNICAS)
716105;Acabador de superfícies de concreto;ACABADOR DE SUPERFICIES DE CONCRETO
848510;Açougueiro;ACOUGUEIRO
376205;Acrobata;ACROBATA
623005;Adestrador de animais;ADESTRADOR DE ANIMAIS
252105;Administrador;ADMINISTRADOR
212305;Administrador de banco de dados;ADMINISTRADOR DE BANCO DE DADOS
510110;Administrador de edifícios;ADMINISTRADOR DE EDIFICIOS
252505;Administrador de fundos e carteiras de investimento;ADMINISTRADOR DE FUNDOS E CARTEIRAS DE INVESTIMENTO
212310;Administrador de redes;ADMINISTRADOR DE REDES
212315;Administrador de sistemas operacionais;ADMINISTRADOR DE SISTEMAS OPERACIONAIS
212320;Administrador em segurança da informação;ADMINISTRADOR EM SEGURANCA DA INFORMACAO
241005;Advogado;ADVOGADO
241030;Advogado (áreas especiais);ADVOGADO (AREAS ESPECIAIS)
241015;Advogado (direito civil);ADVOGADO (DIREITO CIVIL)
241035;Advogado (direito do trabalho);ADVOGADO (DIREITO DO TRABALHO)
241025;Advogado (direito penal);ADVOGADO (DIREITO PENAL)
241020;Advogado (direito público);ADVOGADO (DIREITO PUBLICO)
241205;Advogado da união;ADVOGADO DA UNIAO
241010;Advogado de empresa;ADVOGADO DE EMPRESA
721305;Afiador de cardas;AFIADOR DE CARDAS
721310;Afiador de cutelaria;AFIADOR DE CUTELARIA
721315;Afiador de ferramentas;AFIADOR DE FERRAMENTAS
721320;Afiador de serras;AFIADOR DE SERRAS
742105;Afinador de instrumentos musicais;AFINADOR DE INSTRUMENTOS MUSICAIS
342120;Afretador;AFRETADOR
253140;Agenciador de propaganda;AGENCIADOR DE PROPAGANDA
515105;Agente comunitário de saúde;AGENTE COMUNITARIO DE SAUDE
515310;Agente de ação social;AGENTE DE ACAO SOCIAL
515140;Agente de combate às endemias;AGENTE DE COMBATE AS ENDEMIAS
352205;Agente de defesa ambiental;AGENTE DE DEFESA AMBIENTAL
352405;Agente de direitos autorais;AGENTE DE DIREITOS AUTORAIS
342405;Agente de estação (ferrovia e metrô);AGENTE DE ESTACAO (FERROVIA E METRO)
254310;Agente de higiene e segurança;AGENTE DE HIGIENE E SEGURANCA
351905;Agente de inteligência;AGENTE DE INTELIGENCIA
215105;Agente de manobra e docagem;AGENTE DE MANOBRA E DOCAGEM
411050;Agente de microcrédito;AGENTE DE MICROCREDITO
783105;Agente de pátio;AGENTE DE PATIO
517205;Agente de polícia federal;AGENTE DE POLICIA FEDERAL
517415;Agente de portaria;AGENTE DE PORTARIA
342550;Agente de proteção de aviação civil;AGENTE DE PROTECAO DE AVIACAO CIVIL
517130;Agente de proteção e defesa civil;AGENTE DE PROTECAO E DEFESA CIVIL
351315;Agente de recrutamento e seleção;AGENTE DE RECRUTAMENTO E SELECAO
352210;Agente de saúde pública;AGENTE DE SAUDE PUBLICA
517310;Agente de segurança;AGENTE DE SEGURANCA
517220;Agente de trânsito;AGENTE DE TRANSITO
354120;Agente de vendas de serviços;AGENTE DE VENDAS DE SERVICOS
354815;Agente de viagem;AGENTE DE VIAGEM
352310;Agente fiscal de qualidade;AGENTE FISCAL DE QUALIDADE
352315;Agente fiscal metrológico;AGENTE FISCAL METROLOGICO
352320;Agente fiscal têxtil;AGENTE FISCAL TEXTIL
516505;Agente funerário;AGENTE FUNERARIO
515130;Agente indígena de saneamento;AGENTE INDIGENA DE SANEAMENTO
515125;Agente indígena de saúde;AGENTE INDIGENA DE SAUDE
351910;Agente técnico de inteligência;AGENTE TECNICO DE INTELIGENCIA
